,User attribute 1,User attribute 2,User attribute 3,User attribute 4,User attribute 5,User attribute 6,User attribute 7,User attribute 8,User attribute 9,User attribute 11,User attribute 12,Age,Phone OS version,Countries,User source sh,User attribute 10,Phone brand sh,Target variable Y
7408,19,0,4,1,0.09302325581,0.1395348837,0.0,43,0,0,0,21,7,US,Facebook,MV,motorola,0
358,24,0,1,2,0.1612903226,0.09677419355,0.0,62,0,1,1,26,8.1.0,US,Bidalgo - Facebook,MV,LGE,0
9389,30,0,0,0,0.01538461538,0.2153846154,0.0,65,0,0,0,32,6.0.1,US,MV,MV,LGE,0
1745,58,0,2,2,0.0,0.2372881356,0.0,59,0,1,0,60,7,US,Bidalgo - Facebook,MV,LGE,0
3470,38,0,4,2,0.05633802817000001,0.1126760563,0.0,71,0,1,0,40,7.1.1,US,Other,MV,ZTE,0
9178,16,0,1,0,0.05405405405,0.08108108107999999,0.0,37,0,0,1,18,9,FR,MV,MV,HUAWEI,0
1470,32,0,1,0,0.12,0.25,0.0,100,0,1,0,34,7,US,Facebook,MV,LGE,0
6460,27,0,7,2,0.02816901408,0.1549295775,0.0,71,0,0,1,29,8.0.0,US,Other,MV,samsung,0
6872,25,0,5,1,0.01212121212,0.3151515152,0.0,165,0,0,1,27,8.0.0,US,Facebook,MV,samsung,0
7439,22,0,1,0,0.0,0.1666666667,0.0,24,0,0,1,24,9,DE,MV,MV,HUAWEI,0
5113,26,0,1,0,0.0,0.2571428571,0.0,35,0,0,0,28,7.1.1,US,MV,MV,motorola,0
5761,22,0,1,0,0.0,0.16,0.0,50,0,1,1,24,8.0.0,US,Bidalgo - Snapchat,MV,samsung,0
6560,20,0,4,1,0.0,0.1224489796,0.0,49,0,0,1,22,8.1.0,DK,Bidalgo - Facebook,MV,Razer,0
3463,19,0,2,0,0.03921568627,0.09803921569,0.0,51,0,0,1,21,8.1.0,GB,Facebook,MV,Vodafone,0
9349,32,0,6,1,0.01515151515,0.07575757576,0.0,132,0,0,1,34,8.0.0,FR,Bidalgo - Instagram,MV,samsung,0
6514,18,0,1,0,0.0,0.08695652174,0.0,46,0,0,1,20,8.0.0,US,Bidalgo - Instagram,MV,samsung,0
